(421)XY,52,20 --> 1
(422)XY,53,20 --> 1
(423)XY,54,20 --> 1
(424)XY,55,20 --> 1
(425)XY,56,20 --> 1
(426)XY,57,20 --> 1
(427)XY,58,20 --> 1
(428)XY,59,20 --> 1
(429)XY,60,20 --> 1
(430)XY,61,20 --> 1
(431)XY,62,20 --> 1
(432)XY,63,20 --> 1
(433)XY,64,20 --> 1
(434)XY,65,20 --> 1
(435)XY,66,20 --> 1
(436)XY,67,20 --> 1
(437)XY,68,20 --> 1
(438)XY,69,20 --> 1
(439)XY,70,20 --> 1
(440)XY,71,20 --> 1
(441)XY,72,20 --> 1
(442)XY,73,20 --> 1
(443)XY,74,20 --> 1
(444)XY,75,20 --> 1
(445)XY,76,20 --> 1
(446)XY,77,20 --> 1
(447)XY,78,20 --> 1
(448)XY,79,20 --> 1
(449)XY,80,20 --> 1
(450)XY,81,20 --> 1
(451)XY,82,20 --> 1
(452)XY,83,20 --> 1
(453)XY,84,20 --> 1
(454)XY,85,20 --> 1
(455)XY,86,20 --> 1
(456)XY,87,20 --> 1
(457)XY,88,20 --> 1
(458)XY,89,20 --> 1
(459)XY,90,20 --> 1
(460)XY,91,20 --> 1
(461)XY,92,20 --> 1
(462)XY,93,20 --> 1
(463)XY,94,20 --> 1
(464)XY,95,20 --> 1
(465)XY,96,20 --> 1
(466)XY,97,20 --> 1
(467)XY,98,20 --> 1
(468)XY,99,20 --> 1
(469)XY,100,20 --> 1
(470)XY,101,20 --> 1
(471)XY,102,20 --> 1
(472)XY,103,20 --> 1
(473)XY,104,20 --> 1
(474)XY,105,20 --> 1
(475)XY,106,20 --> 1
(476)XY,107,20 --> 1
(477)XY,108,20 --> 1
(478)XY,109,20 --> 1
(479)XY,110,20 --> 1
(480)XY,111,20 --> 1
(481)XY,112,20 --> 1
(482)XY,113,20 --> 1
(483)XY,114,20 --> 1
(484)XY,115,20 --> 1
(485)XY,116,20 --> 1
(486)XY,117,20 --> 1
(487)XY,118,20 --> 1
(488)XY,119,20 --> 1
(489)XY,120,20 --> 1
(490)XY,121,20 --> 1
(491)XY,122,20 --> 1
(492)XY,123,20 --> 1
(493)XY,124,20 --> 1
(494)XY,125,20 --> 1
(495)XY,126,20 --> 1
(496)XY,127,20 --> 1
(497)XY,128,20 --> 1
(498)XY,129,20 --> 1
(499)XY,130,20 --> 1
(500)XY,131,20 --> 1
(501)XY,132,20 --> 1
(502)XY,133,20 --> 1
(503)XY,134,20 --> 1
(504)XY,135,20 --> 1
(505)XY,136,20 --> 1
(506)XY,137,20 --> 1
(507)XY,138,20 --> 1
(508)XY,139,20 --> 1
(509)XY,140,20 --> 1
(510)XY,141,20 --> 1
(511)XY,142,20 --> 1
(512)XY,143,20 --> 1
(513)XY,144,20 --> 1
(514)XY,145,20 --> 1
(515)XY,146,20 --> 1
(516)XY,147,20 --> 1
(517)XY,148,20 --> 1
(518)XY,149,20 --> 1
(519)XY,150,20 --> 1
(520)XY,151,20 --> 1
(521)XY,152,20 --> 1
(522)XY,153,20 --> 1
(523)XY,154,20 --> 1
(524)XY,155,20 --> 1
(525)XY,156,20 --> 1
(526)XY,157,20 --> 1
(527)XY,158,20 --> 1
(528)XY,159,20 --> 1
(529)XY,160,20 --> 1
(530)XY,161,20 --> 1
(531)XY,162,20 --> 1
(532)XY,163,20 --> 1
(533)XY,164,20 --> 1
(534)XY,165,20 --> 1
(535)XY,166,20 --> 1
(536)XY,167,20 --> 1
(537)XY,168,20 --> 1
(538)XY,169,20 --> 1
(539)XY,170,20 --> 1
(540)XY,171,20 --> 1
(541)XY,172,20 --> 1
(542)XY,173,20 --> 1
(543)XY,174,20 --> 1
(544)XY,175,20 --> 1
(545)XY,176,20 --> 1
(546)XY,177,20 --> 1
(547)XY,178,20 --> 1
(548)XY,179,20 --> 1
(549)XY,180,20 --> 1
(550)XY,181,20 --> 1
(551)DLACPY,0,21 --> 7
(552)DLACPY,1,21 --> 11
(553)DLACPY,2,21 --> 11
(554)DLACPY,3,21 --> 13
(555)DLACPY,4,21 --> 15
(556)DLACPY,5,21 --> 11
(557)DLACPY,6,21 --> 10
(558)DLACPY,7,21 --> 10
(559)DLACPY,8,21 --> 12
(560)DLACPY,9,21 --> 10
(561)DLACPY,10,21 --> 19
(562)DLACPY,11,21 --> 14
(563)DLACPY,12,21 --> 14
(564)DLACPY,13,21 --> 18
(565)DLACPY,14,21 --> 19
(566)DLACPY,15,21 --> 17
(567)DLACPY,16,21 --> 16
(568)DLACPY,17,21 --> 18
(569)DLACPY,18,21 --> 15
(570)DLACPY,19,21 --> 16
(571)DLACPY,20,21 --> 19
(572)DLACPY,21,21 --> 14
(573)DLACPY,22,21 --> 16
(574)DLACPY,23,21 --> 16
(575)DLACPY,24,21 --> 14
(576)DLACPY,25,21 --> 12
(577)DLACPY,26,21 --> 17
(578)DLACPY,27,21 --> 15
(579)DLACPY,28,21 --> 10
(580)DLACPY,29,21 --> 19
(581)DLACPY,30,21 --> 19
(582)DLACPY,31,21 --> 18
(583)DLACPY,32,21 --> 14
(584)DLACPY,33,21 --> 10
(585)DLACPY,34,21 --> 13
(586)DLACPY,35,21 --> 12
(587)DLACPY,36,21 --> 12
(588)DLACPY,37,21 --> 13
(589)DLACPY,38,21 --> 10
(590)DLACPY,39,21 --> 13
(591)DLACPY,40,21 --> 12
(592)DLACPY,41,21 --> 12
(593)DLACPY,42,21 --> 13
(594)DLACPY,43,21 --> 9
(595)DLACPY,44,21 --> 10
(596)DLACPY,45,21 --> 9
(597)DLACPY,46,21 --> 12
(598)DLACPY,47,21 --> 14
(599)DLACPY,48,21 --> 9
(600)DLACPY,49,21 --> 12
(601)DLACPY,50,21 --> 19
(602)DLACPY,51,21 --> 14
(603)DLACPY,52,21 --> 17
(604)DLACPY,53,21 --> 18
(605)DLACPY,54,21 --> 14
(606)DLACPY,55,21 --> 15
(607)DLACPY,56,21 --> 13
(608)DLACPY,57,21 --> 15
(609)DLACPY,58,21 --> 11
(610)DLACPY,59,21 --> 20
(611)DLACPY,60,21 --> 27
(612)DLACPY,61,21 --> 19
(613)DLACPY,62,21 --> 18
(614)DLACPY,63,21 --> 19
(615)DLACPY,64,21 --> 20
(616)DLACPY,65,21 --> 26
(617)DLACPY,66,21 --> 19
(618)DLACPY,67,21 --> 14
(619)DLACPY,68,21 --> 13
(620)DLACPY,69,21 --> 15
(621)DLACPY,70,21 --> 25
(622)DLACPY,71,21 --> 23
(623)DLACPY,72,21 --> 17
(624)DLACPY,73,21 --> 18
(625)DLACPY,74,21 --> 16
(626)DLACPY,75,21 --> 16
(627)DLACPY,76,21 --> 14
(628)DLACPY,77,21 --> 22
(629)DLACPY,78,21 --> 33
(630)DLACPY,79,21 --> 18
(631)DLACPY,80,21 --> 23
(632)DLACPY,81,21 --> 18
(633)DLACPY,82,21 --> 25
(634)DLACPY,83,21 --> 18
(635)DLACPY,84,21 --> 23
(636)DLACPY,85,21 --> 21
(637)DLACPY,86,21 --> 21
(638)DLACPY,87,21 --> 18
(639)DLACPY,88,21 --> 18
(640)DLACPY,89,21 --> 18
(641)DLACPY,90,21 --> 23
(642)DLACPY,91,21 --> 28
(643)DLACPY,92,21 --> 20
(644)DLACPY,93,21 --> 18
(645)DLACPY,94,21 --> 26
(646)DLACPY,95,21 --> 17
(647)DLACPY,96,21 --> 21
(648)DLACPY,97,21 --> 18
(649)DLACPY,98,21 --> 20
(650)DLACPY,99,21 --> 16
(651)DLACPY,100,21 --> 25
(652)DLACPY,101,21 --> 28
(653)DLACPY,102,21 --> 25
(654)DLACPY,103,21 --> 15
(655)DLACPY,104,21 --> 18
(656)DLACPY,105,21 --> 20
(657)DLACPY,106,21 --> 15
(658)DLACPY,107,21 --> 11
(659)DLACPY,108,21 --> 16
(660)DLACPY,109,21 --> 9
(661)DLACPY,110,21 --> 20
(662)DLACPY,111,21 --> 21
(663)DLACPY,112,21 --> 19
(664)DLACPY,113,21 --> 15
(665)DLACPY,114,21 --> 17
(666)DLACPY,115,21 --> 16
(667)DLACPY,116,21 --> 20
(668)DLACPY,117,21 --> 17
(669)DLACPY,118,21 --> 14
(670)DLACPY,119,21 --> 25
